set_id,design_id,label,stable,axis_null_count,channel_axis_null_count,wall_cusp_count,cell_count,four_wall_cusps,four_cells,wall_cusp_z_m,wall_cusp_z_over_length,cell_lengths_m,wall_mirror_ratio_min,wall_mirror_ratio_max,axis_mirror_ratio_min,axis_mirror_ratio_max,angle_to_wall_normal_deg_min,angle_to_wall_normal_deg_max,max_wall_intersection_shift_m,max_axis_null_shift_m,wall_radius_m,chamber_length_m,stage_pitch_m,stage_count
four_cell_v2,v2-019,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,1,1,1,2,False,False,0.016900269876383146,0.7165588603290063,0.016900269876383146;0.006685049923616852,1.847404329272553,6.452451737564062,1.3681717117310033,9.747209645771854,26.588507222602313,26.588507222602313,4.901485395128469e-07,5.652309876050254e-07,0.007606,0.023585319799999997,0.004801,4
four_cell_v2,v2-020,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,1,1,1,2,False,False,0.019996631823935736,0.7242268000060373,0.019996631823935736;0.007614375976064264,1.7034030995804148,12.636054170161854,1.0692065265284274,17.755947284500465,32.41489431938786,32.41489431938786,1.0256928704616836e-05,1.8000857697320072e-05,0.008062999999999999,0.0276110078,0.005601,4
four_cell_v2,v2-021,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,1,1,1,2,False,False,0.01855650466288513,0.7359225451912061,0.01855650466288513;0.006658791137114869,2.2302673781987954,10.072983678545528,0.9994149680884464,26.1417133225457,36.97640658979445,36.97640658979445,3.8676679306633155e-06,2.4363079837858015e-06,0.008463,0.0252152958,0.005201,4
four_cell_v2,v2-022,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,1,0,1,2,False,False,0.01757905867255344,0.7915231326446439,0.01757905867255344;0.004630094727446556,6.045490496334019,322.5861267552465,0.7282128384843279,2.5029117581338025,47.60326741164398,47.60326741164398,1.4549935022437066e-05,4.7327976337635524e-05,0.008863,0.022209153399999997,0.0044009999999999995,4
four_cell_v2,v2-023,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,1,1,1,2,False,False,0.01711310157418712,0.7432135113402348,0.01711310157418712;0.005912719825812877,2.1891788300528625,9.35917681699304,1.2112758658085894,131.0771030619865,39.3589691637484,39.3589691637484,7.5782180385328135e-06,1.0197990947848068e-05,0.009263,0.023025821399999997,0.0047009999999999994,4
four_cell_v2,v2-024,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,1,1,1,2,False,False,0.019129381795469698,0.7080500907132791,0.019129381795469698;0.007887607604530302,1.6692718016137895,9.822332503432628,1.0815727725115023,8.0039365378389,24.494916899992152,24.494916899992152,6.2702471101058754e-06,5.139246856016022e-06,0.006862999999999999,0.0270169894,0.005501,4
four_cell_v2,v2-025,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,1,1,1,2,False,False,0.017976632404358324,0.7193508093879823,0.017976632404358324;0.007013444995641674,2.21676979351149,7.942706633010658,1.0696350636372756,10.099724188003611,27.667473785041672,27.667473785041672,4.8729908108079145e-06,6.360067137431424e-06,0.0072629999999999995,0.024990077399999998,0.005101,4
four_cell_v2,v2-026,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,1,1,1,2,False,False,0.015826153259110156,0.752609770567814,0.015826153259110156;0.005202212140889843,5.301200511130073,48.57492664929371,0.8849508252079715,17.80967290848379,35.00721391542847,35.00721391542847,2.5824059374755792e-06,1.2722579697921343e-05,0.007663,0.0210283654,0.004301,4
four_cell_v2,v2-027,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,1,1,1,2,False,False,0.01718723329672903,0.7122499019920236,0.01718723329672903;0.006943669703270972,1.7088097847303048,9.380975039626032,1.5012416718054402,14.730908534166215,26.991808441512237,26.991808441512237,3.218261562042135e-06,8.464646026887929e-06,0.00812,0.024130903000000002,0.004901000000000001,4
four_cell_v2,v2-028,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,1,1,1,2,False,False,0.01882516441283197,0.6918230977238529,0.01882516441283197;0.008385786587168029,1.4565793801711662,11.627044797929196,1.5735177093232624,12.178991318441021,23.842895070584778,23.842895070584778,4.6032404699414275e-06,8.548422588919302e-06,0.00852,0.027210950999999997,0.0057009999999999995,4
four_cell_v2,v2-029,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,1,1,1,2,False,False,0.018567751608223458,0.7114353929138607,0.018567751608223458;0.007531247391776543,1.7233295946245266,9.443857570751645,1.5448409346193577,15.300556634120484,26.67700212430147,26.67700212430147,6.944194152654071e-06,1.0016646736894785e-05,0.008919999999999999,0.026098999,0.005301,4
four_cell_v2,v2-030,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,1,1,1,2,False,False,0.01736799341690138,0.7483350386557929,0.01736799341690138;0.005840853583098618,3.2540718313679737,6.594391736624307,1.3515214598857817,31.486902701656778,32.89905403413248,32.89905403413248,4.479005580270562e-06,4.540113517165212e-06,0.00932,0.023208846999999998,0.004501,4
