case_id,design_id,sweep_index,batch,representative,classification,stage_count_selector,stage_pitch_m,magnet_axial_fraction,chamber_outer_radius_m,dielectric_thickness_m,radial_clearance_m,magnet_radial_thickness_m,source_strength_scale,exit_length_fraction,exit_expansion_descriptor,first_polarity_selector,wall_radius_m,chamber_length_m,injector_length_m,exit_start_m,exit_length_m,exit_outer_radius_m,stage_count,stage_pitch_represented_m,has_divergent_exit,bore_max_b_t,centreline_mid_abs_bz_t,centreline_abs_bz_peak_t,minimum_mirror_ratio,stage_gradient_rms_t_per_m,field_energy_j,axis_cusp_count,axis_null_count,interpolation_b_relative_rms,cross_resolution_b_relative_rms,trials_2N,p_wall_2N,p_wall_2N_lower,p_wall_2N_upper,p_escape_2N,p_reflected_2N,p_timeout_2N,p_wall_N,convergence_change,converged,p_wall_2N_cell1,p_wall_2N_cell2,p_wall_2N_cell3,p_wall_2N_cell4,escape_upstream_anode_plane_2N,escape_exit_plane_2N,escape_divergent_section_radial_2N,escape_unclassified_2N,reflections_N,reflections_2N,timeouts_2N,mu_variation_median,mu_variation_max,tolerance_close_share,steps_median_2N,structural_gates_passed,gates_passed,accepted_field_identity_sha256,orbit_artifact_2N_sha256
l1a-gs-v2-066-d58df2fb43,d58df2fb4305842263f0f433c26ca764466a25bb914a5d9fc11f10d5df6ea3f0,66,extension,False,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,0.926172988684408,0.004612586806637374,0.48068871390236284,0.0020754418233393085,0.0005416409620835703,0.0005389574282929552,0.0037172934172421492,1.233118435923575,0.016508002650250975,0.379803781608687,0.2802438760720847,0.0020754418233393085,0.023062934033186877,0.0018450347226549502,0.022682211057044464,0.0003807229761424124,0.002662649325394789,5,0.004612586806637375,True,0.3027680590427374,0.11999532696068903,0.15079180675279175,7.015440751643098,12.448099183715,0.20796273602739573,5,6,0.005588095620635698,,512,0.51953125,0.47627055696449766,0.5625010455463273,0.115234375,0.365234375,0.0,0.51953125,0.0,True,0.296875,0.5078125,0.75,0.5234375,4,27,28,0,187,187,0,0.22020334483005483,37.08322511873195,0.275390625,692.0,True,True,fee79284bd165ced1a84f8643b676f044d16ae754a8cda6056777e00a7f1ccfc,104405717635780787b6f43cdab2d2bd5e591dda4cbd1addb90c4d31f9224f1c
l1a-gs-v2-067-dd5a30270f,dd5a30270fda16922a1d84d17ea3d1b7f1910d96dbf3325965d047a4115ddee4,67,primary,False,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,0.4261729886844079,0.005812586806637375,0.5286887139023628,0.0021897275376250224,0.0005780045984472066,0.0005735728129083399,0.0038231757701833254,1.263589350050999,0.02868191569372929,0.4142865402293767,0.3125019405882137,0.0021897275376250224,0.0232503472265495,0.00186002777812396,0.022583482727547673,0.0006668644990018254,0.002835697794231458,4,0.005812586806637375,True,0.3254962222352469,0.00084943931652243,0.20298615728366265,17.124320728275,16.470887294356267,0.32693360425346873,4,5,0.004331485753109945,,512,0.83984375,0.8055628302469452,0.869063053441408,0.09765625,0.0625,0.0,0.83984375,0.0,True,0.625,1.0,1.0,0.734375,16,0,34,0,32,32,0,0.13870073524486298,0.8984129861931202,0.447265625,1098.5,True,True,24f27b3bbf471eec374f79c4b8f1acd2438538d6359b1bf3b4946df6e7e8f091,b509f6407fd35a8dcaa9c622ce810a82527b879ce1560b444f91eafb1c07390f
l1a-gs-v2-068-375d1b1b13,375d1b1b13de7c970bb16fac5b977f33906f37c48cb96227c12cdc5bf3a7a5ed,68,primary,True,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,0.1761729886844079,0.004012586806637374,0.5766887139023629,0.0015040132519107369,0.000614368234810843,0.0006081881975237245,0.003929058123124502,1.2925367184720515,0.04085582873720754,0.4499583594921592,0.3447600051043427,0.0015040132519107369,0.012037760419912124,0.0009630208335929699,0.01154594774181666,0.0004918126780954653,0.0019664754071168247,3,0.004012586806637374,True,0.3938863685951611,0.20831014913177545,0.20831014913177545,5.956673047201341,39.16925918201846,0.13542428925008002,3,4,0.006806870802947352,0.006637682803854381,512,0.68359375,0.6420693344375218,0.7223837291642322,0.189453125,0.126953125,0.0,0.685546875,0.001953125,True,0.71875,0.75,0.7421875,0.5234375,36,30,31,0,65,65,0,0.19473271377728799,1.2168694184556879,0.419921875,857.0,True,True,ca9913c70d00754b6f5c7d1520eda374638d6e454747a4ea39e2069a1c59e75b,342a32e366b7b04c10e884948e3e8ee7e23dc85ea981367de505b398972f5e38
l1a-gs-v2-069-9ae4602904,9ae4602904f20347441d35b095597bc7503a942c3df7f1409f36ae6d8d7c10b5,69,extension,False,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,0.6761729886844079,0.004912586806637374,0.6246887139023629,0.0016182989661964512,0.0006507318711744793,0.0006428035821391091,0.0022349404760656786,0.7714840868931041,0.0530297417806858,0.4844411181128488,0.3770180696204717,0.0016182989661964512,0.024562934033186885,0.0019650347226549507,0.023260367984030965,0.0013025660491559198,0.0021354335073446953,5,0.004912586806637377,True,0.15441662501574724,0.08519697408507514,0.09792403807084044,11.22125324382389,8.255081325506692,0.06373237988774572,5,6,0.0059137062994667,,512,0.45703125,0.4143617400217209,0.5003407344544644,0.099609375,0.443359375,0.0,0.458984375,0.001953125,True,0.3203125,0.375,0.671875,0.4609375,19,30,2,0,226,227,0,0.4053213915434575,11.27699702299207,0.23046875,245.0,True,True,1a36060c84c9e2b4465feb01f35bb5143f30991a63f6530095dd6891f34e7009,dc181a99359abf9ddbfb223bded60d05c11064250929243b107aa1c45d5091b2
l1a-gs-v2-070-5b284f066b,5b284f066b799b027bd57dfbfd9a499928ab75530fef17c025210a832d1b9a96,70,extension,False,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,0.051172988684407894,0.006112586806637375,0.6822887139023628,0.0017325846804821655,0.0006870955075381158,0.0006774189667544937,0.0023408228290068556,0.8004314553141568,0.06520365482416411,0.5189238767335385,0.4092761341366007,0.0017325846804821655,0.018337760419912124,0.00146702083359297,0.017142071419243954,0.0011956890006681689,0.0023071502282622208,3,0.006112586806637375,True,0.16868156879543117,0.13022843028889838,0.13022843028889838,5.510408256811878,4.567759629516629,0.0732691246980437,3,4,0.004182638770879056,,512,0.771484375,0.7331726774291983,0.8057525974712677,0.103515625,0.125,0.0,0.771484375,0.0,True,0.9921875,0.75,0.75,0.59375,1,2,50,0,64,64,0,0.28727184267614714,2.387478162901156,0.423828125,492.5,True,True,23f3ff32fc789185fc47b3852846b9f2e483a41e563c83c68a626c8e51d310bc,7498ce625f605d8188645719296c0ccc03da9f0c5ee21704fa9d9e922006b6b9
l1a-gs-v2-071-f0c9ebbd40,f0c9ebbd40de2feb0234e1787fa2352d4f57918bec79bdd67331081c71ea4dbc,71,primary,False,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,0.5511729886844079,0.004312586806637374,0.49028871390236284,0.0018468703947678799,0.0007234591439017521,0.0007120343513698783,0.0024467051819480317,0.8293788237352093,0.0773775678676423,0.5534066353542281,0.4415341986527299,0.0018468703947678799,0.017250347226549497,0.0013800277781239598,0.01591555731328677,0.0013347899132627287,0.0024816255698694016,4,0.004312586806637374,True,0.10615109932503747,0.0060830031943000405,0.05749980363363065,6.737262100701164,5.707482881158382,0.0456954703604861,4,5,0.006736032573861176,,512,0.748046875,0.7086901555300428,0.7837091963574333,0.134765625,0.1171875,0.0,0.748046875,0.0,True,0.5,1.0,1.0,0.4921875,33,33,3,0,60,60,0,0.4196291542053121,2.046530552532376,0.416015625,269.0,True,True,e47a5892a7eb8436ae015b9c07ec217e7ff2723b8b107905c5970a2aaaa14a34,2f598174c49ba45540e6f3e086b027623a20e0ff92323ea7a0de34cbc666f3f7
l1a-gs-v2-072-79cfa36e3a,79cfa36e3a0f9d4a80d10a77cb9ca64b8496aa10b17d296493e169f37f69b3de,72,extension,False,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,0.3011729886844079,0.005212586806637374,0.5382887139023629,0.001961156109053594,0.0007598227802653884,0.000746649735985263,0.0025525875348892083,0.8583261921562619,0.08955148091112063,0.5878893939749178,0.4748328458951856,0.001961156109053594,0.015637760419912123,0.0012510208335929699,0.014237375816175684,0.0014003846037364382,0.0026588595321662364,3,0.005212586806637374,True,0.15329951467269345,0.09096975467420905,0.09096975467420905,4.536495874021781,6.839594232402546,0.0627380160934979,3,4,0.004598329998377471,,512,0.734375,0.6944757724650265,0.7707834576648723,0.140625,0.125,0.0,0.734375,0.0,True,0.921875,0.75,0.75,0.515625,10,14,48,0,64,64,0,0.3338672560976274,2.341578441492915,0.41015625,413.0,True,True,b2723a16058a15d9a4cd81cdf7e18ebe39066429b2af280fd5b371e2d4c19c53,6d7eaf37e050cf57d5f1943d5eb833883183a60868cc84ed012ce949a5fd2061
l1a-gs-v2-073-274491a725,274491a72502b0b713d694fc95c3586b5a116a0c7e300ffb30d1ea6bbc3a6fc8,73,extension,False,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,0.8011729886844079,0.005612586806637374,0.5862887139023628,0.0020917683539515533,0.0007961864166290247,0.0007812651206006477,0.0026584698878303844,0.8872735605773145,0.10172539395459881,0.6223721525956074,0.5070909104113146,0.0020917683539515533,0.02806293403318686,0.002245034722654949,0.02520822101313901,0.002854713020047852,0.0028611840376573557,5,0.0056125868066373725,True,0.15055481944435697,0.08159591312113378,0.09621703227086505,5.328288068720777,4.533880479106346,0.1531443491568053,5,6,0.004527584887122802,,512,0.451171875,0.40859226482341326,0.4944787288995245,0.060546875,0.48828125,0.0,0.451171875,0.0,True,0.296875,0.578125,0.4296875,0.5,29,2,0,0,250,250,0,0.4289705201585784,9.954880832215249,0.224609375,313.5,True,True,9a588d7503589aa2a48f9dfda2bd56951892b140b92ab22f7da74806dc514f22,233b51e818ca1e24788a99365b9eadfa40ab99617554fb6f0f4c0252f31a6843
l1a-gs-v2-074-e2365d7a87,e2365d7a8798b7995e965b15ab221fa6dd16cdecb938a108a7bad25f54b15270,74,extension,False,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,0.824610488684408,0.0038125868066373747,0.6342887139023627,0.0014060540682372675,0.0008325500529926611,0.0003658805052160321,0.002764352240771561,0.9162209289983673,0.11389930699807713,0.6568549112162971,0.5393489749274437,0.0014060540682372675,0.019062934033186874,0.00152503472265495,0.01689167905745683,0.002171254975730044,0.0019402129105279137,5,0.0038125868066373747,True,0.19797422386525423,0.09136696046139112,0.11785766836042738,4.088582073425648,12.256647972053011,0.08094919051095052,5,6,0.00855686279731375,,512,0.517578125,0.4743257644991892,0.5605686777605532,0.048828125,0.43359375,0.0,0.517578125,0.0,True,0.3203125,0.6328125,0.4921875,0.625,25,0,0,0,221,222,0,0.47306936048676657,7.841700635600951,0.27734375,277.5,True,True,7a91c8546633fad91f2babe68ed4465d7e60818c2154be95f676bfb44046e9c4,bd54f3ef5560d80bab7da60ad25733338a659a171f4820c68b046442b4471384
l1a-gs-v2-075-a6696084a4,a6696084a4606cbd36006e6550f324459c9339259367414427b70ed937b40f49,75,primary,False,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,0.3246104886844079,0.0047125868066373745,0.6918887139023628,0.0015203397825229819,0.0008689136893562975,0.0004031586117249079,0.0028702345937127375,0.9451682974194199,0.12607322004155538,0.6913376698369867,0.5716070394435727,0.0015203397825229819,0.014137760419912123,0.00113102083359297,0.01235536743959775,0.0017823929803143736,0.0021162646068148975,3,0.0047125868066373745,True,0.25939065912908077,0.1681320797348696,0.1681320797348696,4.280634321966286,12.930062537677795,0.09213299890617657,3,4,0.005753383844646552,,512,0.71484375,0.6742493599011357,0.7522382677179382,0.099609375,0.185546875,0.0,0.71484375,0.0,True,0.859375,0.75,0.75,0.5,18,16,17,0,95,95,0,0.2426443906634123,2.066698365894114,0.384765625,608.5,True,True,73abb794649ccb35ce52df13f8c0ebade99f9c9b846ef4107d92b40a67028bc7,4fa7129aecd682f98908b627432afc9b94f82082bcb4aa54893189b3d8ad377f
l1a-gs-v2-076-900f037a8c,900f037a8c0c0953c665b0263d2d37a3ac66b16efa7e3b877df2b09bfb6c60d0,76,extension,False,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,0.0746104886844079,0.005912586806637374,0.4998887139023628,0.001634625496808696,0.0005085831108439008,0.0004377739963402925,0.002976116946653914,0.9741156658404725,0.13824713308503364,0.7258204284576764,0.6038651039597017,0.001634625496808696,0.017737760419912124,0.00141902083359297,0.01528556589451009,0.0024521945254020335,0.0022950749237915357,3,0.005912586806637374,True,0.2692814338579969,0.18798713524289026,0.18798713524289026,5.324460955764012,4.807938379825892,0.09295339698959955,3,4,0.004538756249636532,,512,0.75,0.71072470186089,0.7855518102776686,0.0625,0.1875,0.0,0.75,0.0,True,1.0,0.75,0.75,0.5,0,0,32,0,96,96,0,0.22422488088310566,1.9729711143795965,0.408203125,645.0,True,True,2d29f7b65b37177a4fee1610d9eb30e55fcd1d9f77ae17dc5b671e07de9e2c10,a6291c04337702818fa772ef22313f25e61c93baed64f481aa5794bcbc8c27cf
l1a-gs-v2-077-44d74d05d4,44d74d05d472c7b399ab49a1ed9c33ab02d22f2b2ef621a0bfe0fe44eb65a68d,77,extension,False,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,0.5746104886844079,0.004112586806637375,0.5478887139023628,0.0017489112110944103,0.0005449467472075372,0.00047238938095567714,0.0030819992995950903,1.0030630342615252,0.1504210461285119,0.7603031870783661,0.6361231684758308,0.0017489112110944103,0.0164503472265495,0.00131602777812396,0.01397586878755466,0.00247447843899484,0.0024766438614578297,4,0.004112586806637375,True,0.20939746345215968,0.016149352432112535,0.10843872560153732,6.626744222836461,13.544209487605546,0.09042215118591751,4,5,0.007211661096359445,,512,0.654296875,0.612089698324885,0.6942059615106316,0.0703125,0.275390625,0.0,0.65625,0.001953125,True,0.5078125,1.0,0.75,0.359375,32,4,0,0,140,141,0,0.3005967133353204,9.059715190051728,0.328125,478.0,True,True,97e70723fb9dea1b9eff7844ef6fedccd2adad15484b7b8011f8825e1e97238f,8b1bc90fbfdc5ddfbff986841760225ee954148e54b0b905b6fe707f452b8b5b
l1a-gs-v2-078-28bf64f2bb,28bf64f2bbf75acc9576763bd331428af902ca48a6e6f76d28681e5cf7debde2,78,extension,False,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,0.949610488684408,0.0050125868066373735,0.5958887139023629,0.0018631969253801246,0.0005813103835711737,0.0005070047655710618,0.003194110026238689,1.0320104026825778,0.16259495917199016,0.7947859456990558,0.6683812329919598,0.0018631969253801246,0.02506293403318687,0.0020050347226549495,0.020987827297330567,0.0040751067358563015,0.0026609714198137786,5,0.0050125868066373735,True,0.2344560886861949,0.12871112902402226,0.1534023064300242,5.226733991042452,10.848567100017044,0.1993591919458079,5,6,0.005638270744052246,,512,0.64453125,0.6021349532568827,0.6847749053232215,0.0625,0.29296875,0.0,0.64453125,0.0,True,0.3125,0.75,0.75,0.765625,32,0,0,0,150,150,0,0.2440697551741109,7.036020330883337,0.3671875,538.0,True,True,4fe74f4405cabb980d7e1583c073c9d27c59abf5e1f66d8aa8bbec79c199d665,c9a8cf982fa38e427f7d2b52d8ddf5c7459e5849213a0146387de18aa7c556ab
l1a-gs-v2-079-62792322e0,62792322e0280966f253bbd76ef382ddea5e8ab9a84d1e59c8ea9e232b7087eb,79,extension,False,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,0.4496104886844079,0.006212586806637374,0.6438887139023628,0.001977482639665839,0.0006176740199348099,0.0005416201501864464,0.0032999923791798653,1.0609577711036304,0.17529817278257617,0.8292687043197453,0.7006392975080888,0.001977482639665839,0.024850347226549496,0.0019880277781239596,0.02049412676472281,0.004356220461826686,0.0028480575988593824,4,0.006212586806637374,True,0.27691794079778553,0.01046654461739054,0.19171059514565664,11.563337118602258,8.666775700693584,0.2887880419058923,4,5,0.00405446509147033,,512,0.783203125,0.7454722916786112,0.8167159447283499,0.001953125,0.21484375,0.0,0.783203125,0.0,True,0.7421875,1.0,0.75,0.640625,1,0,0,0,110,110,0,0.19210676098636292,2.1966716603121865,0.390625,821.5,True,True,adbf8affdbf6532e9550b54ef870d60e629d682ddf6753772bca420140e649d1,8f469cc1004c9acbd4113524d359f6dc74ff5a18b02d02803e216eb395f3cebd
